date,Year,Month,Hour,weekday,product_code,quantity
1/3/2014,2014,1,276,Friday,M01AB,8.0
1/4/2014,2014,1,276,Saturday,M01AB,2.0
1/5/2014,2014,1,276,Sunday,M01AB,4.0
1/6/2014,2014,1,276,Monday,M01AB,5.0
1/8/2014,2014,1,276,Wednesday,M01AB,5.33
1/9/2014,2014,1,276,Thursday,M01AB,7.0
1/10/2014,2014,1,276,Friday,M01AB,5.0
1/11/2014,2014,1,276,Saturday,M01AB,5.0
1/12/2014,2014,1,276,Sunday,M01AB,2.0
1/13/2014,2014,1,276,Monday,M01AB,7.34
1/14/2014,2014,1,276,Tuesday,M01AB,6.0
1/15/2014,2014,1,276,Wednesday,M01AB,4.0
1/16/2014,2014,1,276,Thursday,M01AB,6.0
1/17/2014,2014,1,276,Friday,M01AB,2.0
1/18/2014,2014,1,276,Saturday,M01AB,1.0
1/19/2014,2014,1,276,Sunday,M01AB,4.33
1/20/2014,2014,1,276,Monday,M01AB,6.0
1/21/2014,2014,1,276,Tuesday,M01AB,2.0
1/22/2014,2014,1,276,Wednesday,M01AB,7.0
1/23/2014,2014,1,276,Thursday,M01AB,4.0
1/24/2014,2014,1,276,Friday,M01AB,4.67
1/25/2014,2014,1,276,Saturday,M01AB,6.0
1/26/2014,2014,1,276,Sunday,M01AB,4.33
1/27/2014,2014,1,276,Monday,M01AB,4.34
1/28/2014,2014,1,276,Tuesday,M01AB,6.0
1/29/2014,2014,1,276,Wednesday,M01AB,5.33
1/30/2014,2014,1,276,Thursday,M01AB,3.02
1/31/2014,2014,1,276,Friday,M01AB,1.0
2/1/2014,2014,2,276,Saturday,M01AB,4.33
2/2/2014,2014,2,276,Sunday,M01AB,7.0
2/3/2014,2014,2,276,Monday,M01AB,5.0
2/4/2014,2014,2,276,Tuesday,M01AB,1.33
2/5/2014,2014,2,276,Wednesday,M01AB,3.0
2/6/2014,2014,2,276,Thursday,M01AB,3.33
2/7/2014,2014,2,276,Friday,M01AB,2.66
2/8/2014,2014,2,276,Saturday,M01AB,3.33
2/9/2014,2014,2,276,Sunday,M01AB,4.0
2/10/2014,2014,2,276,Monday,M01AB,5.0
